Date,Zone ID,Locations Counted,Locations Accurate,Locations Total,Locations Used
2026-01-01,A,392,391,12000,9514
2026-01-01,B,459,458,16000,13270
2026-01-01,C,397,387,6000,4549
2026-01-02,A,405,404,12000,9692
2026-01-02,B,447,446,16000,13243
2026-01-02,C,391,379,6000,4547
2026-01-03,A,417,415,12000,9687
2026-01-03,B,427,422,16000,13338
2026-01-03,C,426,416,6000,4536
2026-01-04,A,419,416,12000,9626
2026-01-04,B,431,426,16000,13428
2026-01-04,C,404,391,6000,4560
2026-01-05,A,457,457,12000,9577
2026-01-05,B,426,425,16000,13302
2026-01-05,C,403,400,6000,4546
2026-01-06,A,427,426,12000,9680
2026-01-06,B,403,402,16000,13383
2026-01-06,C,394,384,6000,4573
2026-01-07,A,438,435,12000,9693
2026-01-07,B,394,392,16000,13421
2026-01-07,C,457,449,6000,4558
2026-01-08,A,435,434,12000,9570
2026-01-08,B,398,394,16000,13415
2026-01-08,C,414,408,6000,4576
2026-01-09,A,446,445,12000,9695
2026-01-09,B,435,434,16000,13435
2026-01-09,C,442,434,6000,4591
2026-01-10,A,456,454,12000,9637
2026-01-10,B,451,449,16000,13449
2026-01-10,C,394,388,6000,4603
2026-01-11,A,412,411,12000,9547
2026-01-11,B,457,455,16000,13319
2026-01-11,C,446,437,6000,4568
2026-01-12,A,440,437,12000,9727
2026-01-12,B,416,412,16000,13417
2026-01-12,C,432,425,6000,4594
2026-01-13,A,458,457,12000,9639
2026-01-13,B,425,424,16000,13386
2026-01-13,C,439,429,6000,4548
2026-01-14,A,456,456,12000,9632
2026-01-14,B,459,457,16000,13236
2026-01-14,C,394,390,6000,4581
2026-01-15,A,440,439,12000,9674
2026-01-15,B,449,446,16000,13345
2026-01-15,C,384,380,6000,4553
2026-01-16,A,454,453,12000,9581
2026-01-16,B,425,424,16000,13278
2026-01-16,C,450,441,6000,4548
2026-01-17,A,441,440,12000,9666
2026-01-17,B,427,424,16000,13452
2026-01-17,C,410,397,6000,4581
2026-01-18,A,441,439,12000,9712
2026-01-18,B,389,388,16000,13486
2026-01-18,C,439,429,6000,4579
2026-01-19,A,420,420,12000,9652
2026-01-19,B,439,439,16000,13322
2026-01-19,C,426,422,6000,4574
2026-01-20,A,428,426,12000,9663
2026-01-20,B,423,419,16000,13442
2026-01-20,C,408,403,6000,4588
2026-01-21,A,402,400,12000,9706
2026-01-21,B,454,453,16000,13384
2026-01-21,C,412,405,6000,4590
2026-01-22,A,425,422,12000,9617
2026-01-22,B,416,412,16000,13515
2026-01-22,C,388,377,6000,4565
2026-01-23,A,437,432,12000,9668
2026-01-23,B,446,444,16000,13520
2026-01-23,C,447,439,6000,4564
2026-01-24,A,439,437,12000,9734
2026-01-24,B,435,432,16000,13390
2026-01-24,C,444,435,6000,4604
2026-01-25,A,446,446,12000,9618
2026-01-25,B,405,404,16000,13490
2026-01-25,C,430,423,6000,4624
2026-01-26,A,413,413,12000,9759
2026-01-26,B,393,391,16000,13404
2026-01-26,C,384,374,6000,4593
2026-01-27,A,428,425,12000,9747
2026-01-27,B,418,417,16000,13539
2026-01-27,C,459,453,6000,4571
2026-01-28,A,386,385,12000,9621
2026-01-28,B,439,433,16000,13379
2026-01-28,C,392,382,6000,4615
2026-01-29,A,403,400,12000,9663
2026-01-29,B,406,403,16000,13463
2026-01-29,C,406,394,6000,4580
2026-01-30,A,381,380,12000,9638
2026-01-30,B,405,401,16000,13439
2026-01-30,C,414,402,6000,4632
2026-01-31,A,411,411,12000,9774
2026-01-31,B,386,382,16000,13548
2026-01-31,C,413,400,6000,4618
2026-02-01,A,441,440,12000,9743
2026-02-01,B,428,425,16000,13489
2026-02-01,C,381,373,6000,4625
2026-02-02,A,395,395,12000,9804
2026-02-02,B,388,385,16000,13379
2026-02-02,C,386,378,6000,4667
2026-02-03,A,393,393,12000,9824
2026-02-03,B,407,407,16000,13577
2026-02-03,C,447,437,6000,4625
2026-02-04,A,460,459,12000,9723
2026-02-04,B,415,413,16000,13415
2026-02-04,C,385,377,6000,4607
2026-02-05,A,434,434,12000,9755
2026-02-05,B,409,407,16000,13546
2026-02-05,C,397,384,6000,4636
2026-02-06,A,397,396,12000,9803
2026-02-06,B,423,421,16000,13409
2026-02-06,C,454,448,6000,4673
2026-02-07,A,396,392,12000,9723
2026-02-07,B,434,433,16000,13536
2026-02-07,C,400,396,6000,4664
2026-02-08,A,423,422,12000,9693
2026-02-08,B,455,453,16000,13440
2026-02-08,C,433,419,6000,4662
2026-02-09,A,405,403,12000,9669
2026-02-09,B,401,398,16000,13555
2026-02-09,C,433,421,6000,4669
2026-02-10,A,394,394,12000,9832
2026-02-10,B,444,443,16000,13587
2026-02-10,C,386,381,6000,4612
2026-02-11,A,380,379,12000,9680
2026-02-11,B,412,410,16000,13379
2026-02-11,C,417,402,6000,4606
2026-02-12,A,424,421,12000,9773
2026-02-12,B,404,403,16000,13556
2026-02-12,C,446,432,6000,4630
2026-02-13,A,431,428,12000,9804
2026-02-13,B,421,420,16000,13404
2026-02-13,C,385,378,6000,4679
2026-02-14,A,415,414,12000,9722
2026-02-14,B,391,389,16000,13503
2026-02-14,C,390,379,6000,4671
2026-02-15,A,405,403,12000,9683
2026-02-15,B,409,407,16000,13590
2026-02-15,C,405,397,6000,4633
2026-02-16,A,437,435,12000,9802
2026-02-16,B,389,387,16000,13511
2026-02-16,C,414,402,6000,4610
2026-02-17,A,414,414,12000,9814
2026-02-17,B,382,382,16000,13512
2026-02-17,C,381,372,6000,4656
2026-02-18,A,390,389,12000,9714
2026-02-18,B,452,449,16000,13594
2026-02-18,C,438,428,6000,4643
2026-02-19,A,408,408,12000,9822
2026-02-19,B,439,435,16000,13654
2026-02-19,C,394,389,6000,4694
2026-02-20,A,428,427,12000,9708
2026-02-20,B,412,408,16000,13549
2026-02-20,C,438,429,6000,4683
2026-02-21,A,389,385,12000,9775
2026-02-21,B,434,428,16000,13667
2026-02-21,C,408,395,6000,4695
2026-02-22,A,397,396,12000,9816
2026-02-22,B,433,432,16000,13427
2026-02-22,C,420,412,6000,4675
2026-02-23,A,389,386,12000,9714
2026-02-23,B,389,385,16000,13470
2026-02-23,C,384,373,6000,4697
2026-02-24,A,398,394,12000,9824
2026-02-24,B,408,406,16000,13639
2026-02-24,C,414,405,6000,4661
2026-02-25,A,441,439,12000,9784
2026-02-25,B,419,416,16000,13444
2026-02-25,C,439,429,6000,4650
2026-02-26,A,453,449,12000,9887
2026-02-26,B,434,434,16000,13542
2026-02-26,C,405,395,6000,4691
2026-02-27,A,404,404,12000,9842
2026-02-27,B,440,436,16000,13621
2026-02-27,C,439,429,6000,4712
2026-02-28,A,455,453,12000,9893
2026-02-28,B,451,448,16000,13587
2026-02-28,C,428,417,6000,4718
2026-03-01,A,397,393,12000,9806
2026-03-01,B,403,400,16000,13515
2026-03-01,C,380,374,6000,4643
2026-03-02,A,453,450,12000,9832
2026-03-02,B,389,388,16000,13705
2026-03-02,C,432,421,6000,4721
2026-03-03,A,451,450,12000,9799
2026-03-03,B,418,418,16000,13642
2026-03-03,C,418,409,6000,4690
2026-03-04,A,437,437,12000,9859
2026-03-04,B,426,425,16000,13673
2026-03-04,C,415,408,6000,4719
2026-03-05,A,432,432,12000,9863
2026-03-05,B,445,443,16000,13702
2026-03-05,C,446,436,6000,4717
2026-03-06,A,457,453,12000,9943
2026-03-06,B,458,457,16000,13640
2026-03-06,C,450,439,6000,4646
2026-03-07,A,390,385,12000,9783
2026-03-07,B,457,455,16000,13610
2026-03-07,C,407,402,6000,4656
2026-03-08,A,421,418,12000,9881
2026-03-08,B,427,426,16000,13673
2026-03-08,C,400,396,6000,4690
2026-03-09,A,403,402,12000,9858
2026-03-09,B,399,396,16000,13506
2026-03-09,C,388,380,6000,4665
2026-03-10,A,457,456,12000,9775
2026-03-10,B,430,430,16000,13602
2026-03-10,C,423,414,6000,4718
2026-03-11,A,394,393,12000,9959
2026-03-11,B,390,389,16000,13534
2026-03-11,C,383,375,6000,4712
2026-03-12,A,432,429,12000,9868
2026-03-12,B,406,401,16000,13667
2026-03-12,C,445,438,6000,4742
2026-03-13,A,439,438,12000,9865
2026-03-13,B,438,436,16000,13665
2026-03-13,C,455,446,6000,4661
2026-03-14,A,383,379,12000,9978
2026-03-14,B,447,444,16000,13559
2026-03-14,C,384,377,6000,4671
2026-03-15,A,456,454,12000,9935
2026-03-15,B,383,382,16000,13555
2026-03-15,C,420,415,6000,4706
2026-03-16,A,410,410,12000,9960
2026-03-16,B,428,423,16000,13574
2026-03-16,C,408,398,6000,4716
2026-03-17,A,415,415,12000,9879
2026-03-17,B,451,448,16000,13769
2026-03-17,C,422,414,6000,4665
2026-03-18,A,380,379,12000,9912
2026-03-18,B,442,442,16000,13563
2026-03-18,C,414,409,6000,4714
2026-03-19,A,441,440,12000,9947
2026-03-19,B,394,392,16000,13672
2026-03-19,C,423,417,6000,4715
2026-03-20,A,451,449,12000,9978
2026-03-20,B,422,419,16000,13825
2026-03-20,C,387,379,6000,4701
2026-03-21,A,405,401,12000,9981
2026-03-21,B,443,439,16000,13717
2026-03-21,C,400,392,6000,4747
2026-03-22,A,459,455,12000,9862
2026-03-22,B,386,382,16000,13767
2026-03-22,C,402,395,6000,4682
2026-03-23,A,419,418,12000,9832
2026-03-23,B,427,423,16000,13677
2026-03-23,C,382,372,6000,4767
2026-03-24,A,399,399,12000,9891
2026-03-24,B,401,398,16000,13790
2026-03-24,C,419,410,6000,4754
2026-03-25,A,399,397,12000,9859
2026-03-25,B,386,385,16000,13604
2026-03-25,C,416,408,6000,4770
2026-03-26,A,433,431,12000,10018
2026-03-26,B,390,387,16000,13840
2026-03-26,C,413,403,6000,4680
2026-03-27,A,424,423,12000,9920
2026-03-27,B,395,394,16000,13688
2026-03-27,C,380,373,6000,4686
2026-03-28,A,441,438,12000,9943
2026-03-28,B,433,430,16000,13732
2026-03-28,C,447,435,6000,4704
2026-03-29,A,433,431,12000,9898
2026-03-29,B,444,441,16000,13679
2026-03-29,C,435,426,6000,4735
2026-03-30,A,398,397,12000,10031
2026-03-30,B,423,420,16000,13723
2026-03-30,C,459,446,6000,4761
2026-03-31,A,427,425,12000,9997
2026-03-31,B,389,387,16000,13672
2026-03-31,C,436,427,6000,4730
2026-04-01,A,385,384,12000,9870
2026-04-01,B,440,437,16000,13877
2026-04-01,C,440,427,6000,4754
2026-04-02,A,397,391,12000,10019
2026-04-02,B,449,448,16000,13865
2026-04-02,C,432,428,6000,4704
2026-04-03,A,421,421,12000,9872
2026-04-03,B,453,452,16000,13744
2026-04-03,C,447,438,6000,4744
2026-04-04,A,426,424,12000,9948
2026-04-04,B,443,439,16000,13710
2026-04-04,C,420,410,6000,4744
2026-04-05,A,400,400,12000,10032
2026-04-05,B,432,430,16000,13719
2026-04-05,C,439,430,6000,4753
2026-04-06,A,420,419,12000,9891
2026-04-06,B,406,405,16000,13726
2026-04-06,C,413,402,6000,4720
2026-04-07,A,389,388,12000,10018
2026-04-07,B,455,453,16000,13676
2026-04-07,C,423,418,6000,4778
2026-04-08,A,451,449,12000,10025
2026-04-08,B,453,452,16000,13660
2026-04-08,C,412,404,6000,4728
2026-04-09,A,407,405,12000,9943
2026-04-09,B,446,445,16000,13891
2026-04-09,C,442,437,6000,4790
2026-04-10,A,425,425,12000,10020
2026-04-10,B,389,388,16000,13666
2026-04-10,C,394,384,6000,4789
2026-04-11,A,391,390,12000,9937
2026-04-11,B,384,383,16000,13803
2026-04-11,C,429,414,6000,4799
