Date,Hour,Team ID,Units,Direct Hours,Indirect Hours,Idle Hours,Standard Hours,New Hire Share,Travel Distance
2026-01-01,8,PCK-A-D,1327,11.548,1.766,3.686,11.061,0.1,12776
2026-01-01,9,PCK-A-D,1475,11.597,1.84,3.564,12.29,0.1,13602
2026-01-01,10,PCK-A-D,1475,11.989,1.62,3.391,12.29,0.1,13867
2026-01-01,11,PCK-A-D,1475,11.542,2.192,3.266,12.29,0.1,14238
2026-01-01,12,PCK-A-D,737,5.845,1.182,1.473,6.145,0.1,6769
2026-01-01,13,PCK-A-D,1475,12.096,1.898,3.006,12.29,0.1,14053
2026-01-01,14,PCK-A-D,1475,11.925,2.373,2.702,12.29,0.1,14310
2026-01-01,15,PCK-A-D,1475,12.147,1.531,3.322,12.29,0.1,13925
2026-01-01,16,PCK-A-D,1475,12.345,1.657,2.998,12.29,0.1,14125
2026-01-01,17,PCK-A-D,1475,12.111,2.348,2.541,12.29,0.1,14041
2026-01-01,20,PCK-A-N,1021,9.457,1.636,2.908,8.508,0.15,9861
2026-01-01,21,PCK-A-N,1134,9.943,1.555,2.502,9.454,0.15,10728
2026-01-01,22,PCK-A-N,1134,9.389,1.827,2.784,9.454,0.15,10768
2026-01-01,23,PCK-A-N,1134,9.497,1.612,2.89,9.454,0.15,10834
2026-01-01,0,PCK-A-N,567,4.752,0.639,1.609,4.727,0.15,5389
2026-01-01,1,PCK-A-N,1134,9.735,1.426,2.839,9.454,0.15,10980
2026-01-01,2,PCK-A-N,1134,11.12,1.705,1.175,9.454,0.15,10737
2026-01-01,3,PCK-A-N,1134,10.601,1.487,1.912,9.454,0.15,10536
2026-01-01,4,PCK-A-N,1134,10.804,1.806,1.391,9.454,0.15,10912
2026-01-01,5,PCK-A-N,1134,9.8,1.706,2.494,9.454,0.15,10523
2026-01-01,8,PCK-B-D,868,7.908,1.277,2.815,7.232,0.12,11739
2026-01-01,9,PCK-B-D,964,8.494,1.332,2.174,8.036,0.12,13463
2026-01-01,10,PCK-B-D,964,8.681,1.358,1.962,8.036,0.12,13026
2026-01-01,11,PCK-B-D,964,8.177,1.544,2.279,8.036,0.12,13526
2026-01-01,12,PCK-B-D,482,4.301,0.775,0.924,4.018,0.12,6814
2026-01-01,13,PCK-B-D,964,8.022,1.354,2.624,8.036,0.12,13322
2026-01-01,14,PCK-B-D,964,8.286,1.385,2.33,8.036,0.12,13039
2026-01-01,15,PCK-B-D,964,8.161,1.639,2.2,8.036,0.12,13147
2026-01-01,16,PCK-B-D,964,8.19,1.405,2.405,8.036,0.12,13763
2026-01-01,17,PCK-B-D,964,8.481,1.631,1.888,8.036,0.12,13423
2026-01-01,20,PCK-B-N,664,6.421,1.194,2.385,5.53,0.2,9297
2026-01-01,21,PCK-B-N,737,6.688,1.278,2.034,6.145,0.2,9993
2026-01-01,22,PCK-B-N,737,6.975,1.212,1.813,6.145,0.2,10330
2026-01-01,23,PCK-B-N,737,6.92,1.033,2.047,6.145,0.2,10194
2026-01-01,0,PCK-B-N,369,3.413,0.654,0.933,3.072,0.2,5061
2026-01-01,1,PCK-B-N,737,6.792,1.325,1.883,6.145,0.2,10290
2026-01-01,2,PCK-B-N,737,7.866,1.29,0.845,6.145,0.2,10364
