Receipt ID,Date,Supplier ID,Supplier,Arrival Hour,Units,Arrived On Time,Damage Free,Documents Correct,Dock To Stock Hours
R000001,2026-01-01,SUP10,Juniper Kitchen,18,782,1,1,1,6.74
R000002,2026-01-01,SUP08,Harbor Home,12,1315,1,1,1,3.97
R000003,2026-01-01,SUP08,Harbor Home,6,335,1,1,1,2.64
R000004,2026-01-01,SUP10,Juniper Kitchen,6,252,1,1,1,3.74
R000005,2026-01-01,SUP08,Harbor Home,10,700,1,1,1,2.84
R000006,2026-01-01,SUP03,Cobalt Electronics,10,877,1,1,1,2.13
R000007,2026-01-01,SUP03,Cobalt Electronics,12,451,1,1,0,3.52
R000008,2026-01-01,SUP03,Cobalt Electronics,10,474,1,1,1,4.03
R000009,2026-01-01,SUP10,Juniper Kitchen,20,1274,1,1,1,8.12
R000010,2026-01-01,SUP06,Fjord Outdoor,12,1310,1,1,1,4.14
R000011,2026-01-01,SUP04,Delta Apparel,8,815,1,1,1,2.32
R000012,2026-01-01,SUP09,Iris Kids,14,838,1,1,1,2.03
R000013,2026-01-01,SUP08,Harbor Home,9,820,0,1,1,3.29
R000014,2026-01-01,SUP01,Alder Foods,9,1289,1,1,1,2.39
R000015,2026-01-01,SUP03,Cobalt Electronics,15,895,0,1,1,2.85
R000016,2026-01-01,SUP05,Evergreen Pet,14,730,1,1,1,3.95
R000017,2026-01-01,SUP02,Brightline Beauty,11,389,1,1,1,2.99
R000018,2026-01-01,SUP09,Iris Kids,16,1182,0,1,1,4.87
R000019,2026-01-01,SUP04,Delta Apparel,8,1136,1,1,1,2.91
R000020,2026-01-01,SUP04,Delta Apparel,14,446,1,1,1,3.54
R000021,2026-01-01,SUP01,Alder Foods,6,810,1,1,1,2.41
R000022,2026-01-01,SUP06,Fjord Outdoor,10,1326,1,1,0,2.97
R000023,2026-01-01,SUP06,Fjord Outdoor,12,272,0,1,1,3.19
R000024,2026-01-01,SUP04,Delta Apparel,11,969,1,1,1,3.29
R000025,2026-01-01,SUP03,Cobalt Electronics,14,493,1,1,0,2.39
R000026,2026-01-01,SUP03,Cobalt Electronics,15,706,0,1,1,3.58
R000027,2026-01-01,SUP09,Iris Kids,18,844,1,1,1,6.7
R000028,2026-01-01,SUP04,Delta Apparel,15,1273,1,1,1,2.96
R000029,2026-01-01,SUP03,Cobalt Electronics,18,1197,0,1,1,5.91
R000030,2026-01-01,SUP08,Harbor Home,14,638,1,1,1,3.33
R000031,2026-01-01,SUP08,Harbor Home,7,729,1,1,1,3.23
R000032,2026-01-01,SUP01,Alder Foods,8,1175,1,0,1,3.76
R000033,2026-01-01,SUP05,Evergreen Pet,12,1363,0,1,1,3.16
R000034,2026-01-01,SUP09,Iris Kids,8,1185,1,1,1,3.15
R000035,2026-01-01,SUP08,Harbor Home,11,1244,1,1,1,3.82
R000036,2026-01-01,SUP01,Alder Foods,13,1112,1,1,1,2.4
R000037,2026-01-01,SUP01,Alder Foods,8,1275,0,1,1,3.96
R000038,2026-01-01,SUP06,Fjord Outdoor,15,441,1,1,1,2.8
R000039,2026-01-01,SUP01,Alder Foods,10,953,1,1,1,3.06
R000040,2026-01-01,SUP10,Juniper Kitchen,12,559,0,1,1,3.32
R000041,2026-01-01,SUP05,Evergreen Pet,8,677,1,1,1,3.38
R000042,2026-01-01,SUP02,Brightline Beauty,13,410,1,1,1,2.39
R000043,2026-01-01,SUP08,Harbor Home,10,1262,1,1,1,3.94
R000044,2026-01-01,SUP07,Granite Tools,16,1232,1,1,1,7.44
R000045,2026-01-01,SUP03,Cobalt Electronics,15,639,0,1,1,3.43
R000046,2026-01-01,SUP01,Alder Foods,16,428,1,1,1,7.26
R000047,2026-01-01,SUP10,Juniper Kitchen,11,674,0,1,1,3.67
R000048,2026-01-01,SUP01,Alder Foods,9,795,1,1,1,4.04
R000049,2026-01-01,SUP06,Fjord Outdoor,14,402,1,1,1,2.88
R000050,2026-01-01,SUP07,Granite Tools,16,859,1,0,1,8.64
R000051,2026-01-01,SUP04,Delta Apparel,11,603,1,1,1,3.95
R000052,2026-01-01,SUP09,Iris Kids,13,668,1,1,1,4.1
R000053,2026-01-01,SUP10,Juniper Kitchen,12,437,1,1,1,3.0
R000054,2026-01-01,SUP04,Delta Apparel,13,999,1,1,1,2.48
R000055,2026-01-01,SUP02,Brightline Beauty,13,1068,1,1,1,3.58
R000056,2026-01-01,SUP01,Alder Foods,12,339,1,1,1,2.5
R000057,2026-01-01,SUP03,Cobalt Electronics,9,1316,1,1,1,2.22
R000058,2026-01-01,SUP04,Delta Apparel,8,1177,1,1,1,4.03
R000059,2026-01-01,SUP10,Juniper Kitchen,10,1176,1,1,1,4.18
R000060,2026-01-02,SUP09,Iris Kids,13,734,1,1,1,3.79
R000061,2026-01-02,SUP06,Fjord Outdoor,18,737,0,1,1,4.22
R000062,2026-01-02,SUP01,Alder Foods,8,1040,1,1,1,2.98
R000063,2026-01-02,SUP02,Brightline Beauty,13,385,1,1,1,3.44
R000064,2026-01-02,SUP02,Brightline Beauty,10,1062,1,1,1,3.82
R000065,2026-01-02,SUP10,Juniper Kitchen,16,394,1,1,1,4.78
R000066,2026-01-02,SUP04,Delta Apparel,10,341,1,1,1,3.13
R000067,2026-01-02,SUP09,Iris Kids,13,599,1,1,1,2.88
R000068,2026-01-02,SUP04,Delta Apparel,9,398,0,1,1,4.0
R000069,2026-01-02,SUP07,Granite Tools,8,672,1,1,1,2.69
R000070,2026-01-02,SUP06,Fjord Outdoor,12,1245,1,1,1,2.22
R000071,2026-01-02,SUP05,Evergreen Pet,8,674,1,1,1,3.64
R000072,2026-01-02,SUP01,Alder Foods,15,1213,1,1,1,2.77
R000073,2026-01-02,SUP10,Juniper Kitchen,9,523,0,1,1,2.65
R000074,2026-01-02,SUP08,Harbor Home,8,935,1,1,1,3.4
R000075,2026-01-02,SUP09,Iris Kids,18,751,1,1,1,7.18
R000076,2026-01-02,SUP08,Harbor Home,9,1109,1,1,1,2.19
R000077,2026-01-02,SUP05,Evergreen Pet,9,272,0,1,1,3.0
R000078,2026-01-02,SUP08,Harbor Home,20,752,1,1,1,4.6
R000079,2026-01-02,SUP08,Harbor Home,15,791,1,1,1,2.44
R000080,2026-01-02,SUP04,Delta Apparel,14,379,1,1,1,2.96
R000081,2026-01-02,SUP03,Cobalt Electronics,15,315,1,1,1,3.78
R000082,2026-01-02,SUP10,Juniper Kitchen,10,1232,1,1,1,3.22
R000083,2026-01-02,SUP02,Brightline Beauty,19,647,1,1,1,8.74
R000084,2026-01-02,SUP06,Fjord Outdoor,16,645,1,1,1,6.38
R000085,2026-01-02,SUP01,Alder Foods,10,852,1,1,1,3.02
R000086,2026-01-02,SUP10,Juniper Kitchen,11,759,1,1,1,2.72
R000087,2026-01-02,SUP04,Delta Apparel,16,981,1,1,1,5.76
R000088,2026-01-02,SUP04,Delta Apparel,7,1039,1,1,1,3.36
R000089,2026-01-02,SUP05,Evergreen Pet,7,1390,1,1,1,3.72
R000090,2026-01-02,SUP02,Brightline Beauty,8,1252,1,1,1,3.66
R000091,2026-01-02,SUP04,Delta Apparel,9,1163,1,1,1,2.4
R000092,2026-01-02,SUP03,Cobalt Electronics,11,588,1,1,1,4.15
R000093,2026-01-02,SUP07,Granite Tools,7,1176,1,1,1,3.2
R000094,2026-01-02,SUP07,Granite Tools,9,493,1,1,1,3.64
R000095,2026-01-02,SUP08,Harbor Home,21,347,1,1,1,4.64
R000096,2026-01-02,SUP08,Harbor Home,16,910,1,0,1,6.82
R000097,2026-01-02,SUP05,Evergreen Pet,11,775,1,1,1,2.72
R000098,2026-01-02,SUP06,Fjord Outdoor,10,1155,1,1,1,3.7
R000099,2026-01-02,SUP08,Harbor Home,14,259,1,1,1,3.76
R000100,2026-01-02,SUP10,Juniper Kitchen,15,1278,1,1,1,3.52
R000101,2026-01-02,SUP10,Juniper Kitchen,14,1212,1,1,1,2.98
R000102,2026-01-02,SUP08,Harbor Home,9,913,1,1,0,3.14
R000103,2026-01-02,SUP06,Fjord Outdoor,16,793,1,1,1,8.63
