Team ID,Team,Process ID,Zone ID,Shift,Headcount
PCK-A-D,PCK-A-D,PCK,A,Day,17
PCK-A-N,PCK-A-N,PCK,A,Night,14
PCK-B-D,PCK-B-D,PCK,B,Day,12
PCK-B-N,PCK-B-N,PCK,B,Night,10
PCK-C-D,PCK-C-D,PCK,C,Day,12
PCK-C-N,PCK-C-N,PCK,C,Night,9
PAK-D-1,PAK-D-1,PAK,D,Day,19
PAK-D-2,PAK-D-2,PAK,D,Day,14
PAK-N-1,PAK-N-1,PAK,D,Night,24
SHP-D,SHP-D,SHP,D,Day,11
SHP-N,SHP-N,SHP,D,Night,9
RCV-D,RCV-D,RCV,D,Day,27
RCV-N,RCV-N,RCV,D,Night,13
PUT-AB-D,PUT-AB-D,PUT,A,Day,33
PUT-C-N,PUT-C-N,PUT,C,Night,29
CNT-B-D,CNT-B-D,CNT,B,Day,2
