목표월,카테고리,목표매출액
2024-01-01,Electronics,58000000.0
2024-01-01,Beauty,10000000.0
2024-01-01,Home,8000000.0
2024-01-01,Food,26000000.0
2024-01-01,Fashion,25000000.0
2024-02-01,Electronics,30000000.0
2024-02-01,Beauty,6000000.0
2024-02-01,Home,5000000.0
2024-02-01,Food,13000000.0
2024-02-01,Fashion,16000000.0
2024-03-01,Electronics,43000000.0
2024-03-01,Beauty,10000000.0
2024-03-01,Home,8000000.0
2024-03-01,Food,16000000.0
2024-03-01,Fashion,21000000.0
2024-04-01,Electronics,35000000.0
2024-04-01,Beauty,8000000.0
2024-04-01,Home,8000000.0
2024-04-01,Food,15000000.0
2024-04-01,Fashion,23000000.0
2024-05-01,Electronics,54000000.0
2024-05-01,Beauty,11000000.0
2024-05-01,Home,8000000.0
2024-05-01,Food,20000000.0
2024-05-01,Fashion,21000000.0
2024-06-01,Electronics,60000000.0
2024-06-01,Beauty,8000000.0
2024-06-01,Home,6000000.0
2024-06-01,Food,16000000.0
2024-06-01,Fashion,15000000.0
2024-07-01,Electronics,55000000.0
2024-07-01,Beauty,11000000.0
2024-07-01,Home,7000000.0
2024-07-01,Food,15000000.0
2024-07-01,Fashion,16000000.0
2024-08-01,Electronics,35000000.0
2024-08-01,Beauty,9000000.0
2024-08-01,Home,6000000.0
2024-08-01,Food,13000000.0
2024-08-01,Fashion,19000000.0
2024-09-01,Electronics,50000000.0
2024-09-01,Beauty,15000000.0
2024-09-01,Home,7000000.0
2024-09-01,Food,32000000.0
2024-09-01,Fashion,27000000.0
2024-10-01,Electronics,32000000.0
2024-10-01,Beauty,10000000.0
2024-10-01,Home,8000000.0
2024-10-01,Food,18000000.0
2024-10-01,Fashion,33000000.0
2024-11-01,Electronics,66000000.0
2024-11-01,Beauty,11000000.0
2024-11-01,Home,7000000.0
2024-11-01,Food,21000000.0
2024-11-01,Fashion,38000000.0
2024-12-01,Electronics,67000000.0
2024-12-01,Beauty,18000000.0
2024-12-01,Home,9000000.0
2024-12-01,Food,19000000.0
2024-12-01,Fashion,40000000.0
2025-01-01,Electronics,58000000.0
2025-01-01,Beauty,12000000.0
2025-01-01,Home,8000000.0
2025-01-01,Food,27000000.0
2025-01-01,Fashion,28000000.0
2025-02-01,Electronics,30000000.0
2025-02-01,Beauty,7000000.0
2025-02-01,Home,5000000.0
2025-02-01,Food,13000000.0
2025-02-01,Fashion,18000000.0
2025-03-01,Electronics,47000000.0
2025-03-01,Beauty,10000000.0
2025-03-01,Home,9000000.0
2025-03-01,Food,16000000.0
2025-03-01,Fashion,22000000.0
2025-04-01,Electronics,38000000.0
2025-04-01,Beauty,9000000.0
2025-04-01,Home,8000000.0
2025-04-01,Food,17000000.0
2025-04-01,Fashion,22000000.0
2025-05-01,Electronics,58000000.0
2025-05-01,Beauty,12000000.0
2025-05-01,Home,9000000.0
2025-05-01,Food,21000000.0
2025-05-01,Fashion,22000000.0
2025-06-01,Electronics,61000000.0
2025-06-01,Beauty,9000000.0
2025-06-01,Home,6000000.0
2025-06-01,Food,16000000.0
2025-06-01,Fashion,15000000.0
2025-07-01,Electronics,61000000.0
2025-07-01,Beauty,11000000.0
2025-07-01,Home,7000000.0
2025-07-01,Food,17000000.0
2025-07-01,Fashion,17000000.0
2025-08-01,Electronics,36000000.0
2025-08-01,Beauty,10000000.0
2025-08-01,Home,6000000.0
2025-08-01,Food,15000000.0
2025-08-01,Fashion,21000000.0
2025-09-01,Electronics,53000000.0
2025-09-01,Beauty,15000000.0
2025-09-01,Home,7000000.0
2025-09-01,Food,34000000.0
2025-09-01,Fashion,27000000.0
2025-10-01,Electronics,35000000.0
2025-10-01,Beauty,11000000.0
2025-10-01,Home,8000000.0
2025-10-01,Food,19000000.0
2025-10-01,Fashion,33000000.0
2025-11-01,Electronics,68000000.0
2025-11-01,Beauty,12000000.0
2025-11-01,Home,8000000.0
2025-11-01,Food,21000000.0
2025-11-01,Fashion,39000000.0
2025-12-01,Electronics,70000000.0
2025-12-01,Beauty,20000000.0
2025-12-01,Home,10000000.0
2025-12-01,Food,21000000.0
2025-12-01,Fashion,39000000.0
2026-01-01,Electronics,49000000.0
2026-01-01,Beauty,15000000.0
2026-01-01,Home,8000000.0
2026-01-01,Food,28000000.0
2026-01-01,Fashion,36000000.0
2026-02-01,Electronics,30000000.0
2026-02-01,Beauty,12000000.0
2026-02-01,Home,5000000.0
2026-02-01,Food,18000000.0
2026-02-01,Fashion,17000000.0
2026-03-01,Electronics,54000000.0
2026-03-01,Beauty,13000000.0
2026-03-01,Home,9000000.0
2026-03-01,Food,15000000.0
2026-03-01,Fashion,26000000.0
2026-04-01,Electronics,40000000.0
2026-04-01,Beauty,15000000.0
2026-04-01,Home,7000000.0
2026-04-01,Food,17000000.0
2026-04-01,Fashion,19000000.0
2026-05-01,Electronics,51000000.0
2026-05-01,Beauty,17000000.0
2026-05-01,Home,8000000.0
2026-05-01,Food,20000000.0
2026-05-01,Fashion,26000000.0
2026-06-01,Electronics,52000000.0
2026-06-01,Beauty,14000000.0
2026-06-01,Home,7000000.0
2026-06-01,Food,20000000.0
2026-06-01,Fashion,19000000.0
2026-07-01,Electronics,51000000.0
2026-07-01,Beauty,13000000.0
2026-07-01,Home,9000000.0
2026-07-01,Food,18000000.0
2026-07-01,Fashion,18000000.0
2026-08-01,Electronics,37000000.0
2026-08-01,Beauty,14000000.0
2026-08-01,Home,7000000.0
2026-08-01,Food,18000000.0
2026-08-01,Fashion,27000000.0
