주문번호,주문일자,매장코드,제품코드,수량,정가,할인율,매출액,원가
O20240101-000001,2024-01-01,S01,P018,2,79000,0.05,150100,64780
O20240101-000002,2024-01-01,S01,P027,1,8900,0.0,8900,4628
O20240101-000003,2024-01-01,S01,P042,1,22000,0.0,22000,7040
O20240101-000004,2024-01-01,S02,P026,2,12900,0.2,20640,12384
O20240101-000005,2024-01-01,S03,P027,1,8900,0.05,8455,4628
O20240101-000006,2024-01-01,S03,P044,3,42000,0.0,126000,41580
O20240101-000007,2024-01-01,S04,P006,1,329000,0.0,329000,217140
O20240101-000008,2024-01-01,S04,P028,2,89000,0.0,178000,89000
O20240101-000009,2024-01-01,S09,P016,1,119000,0.05,113050,59500
O20240101-000010,2024-01-01,S10,P011,2,129000,0.05,245100,116100
O20240101-000011,2024-01-01,S12,P005,1,149000,0.0,149000,101320
O20240101-000012,2024-01-01,S12,P012,1,189000,0.0,189000,79380
O20240101-000013,2024-01-01,S12,P044,1,42000,0.05,39900,13860
O20240101-000014,2024-01-01,S13,P013,1,59000,0.05,56050,23600
O20240101-000015,2024-01-01,S13,P028,2,89000,0.05,169100,89000
O20240101-000016,2024-01-01,S14,P046,4,16900,0.1,60840,24336
O20240101-000017,2024-01-01,S16,P017,1,89000,0.0,89000,39160
O20240101-000018,2024-01-01,S16,P043,2,45000,0.0,90000,25200
O20240101-000019,2024-01-01,S17,P036,1,32000,0.0,32000,11200
O20240101-000020,2024-01-01,ON1,P027,1,8900,0.2,7120,4628
O20240101-000021,2024-01-01,ON1,P047,2,15000,0.0,30000,10200
O20240101-000022,2024-01-01,ON2,P026,1,12900,0.0,12900,6192
O20240102-000023,2024-01-02,S01,P015,1,69000,0.2,55200,27600
O20240102-000024,2024-01-02,S01,P028,1,89000,0.1,80100,44500
O20240102-000025,2024-01-02,S01,P032,1,29900,0.05,28405,13455
O20240102-000026,2024-01-02,S01,P044,1,42000,0.0,42000,13860
O20240102-000027,2024-01-02,S02,P022,1,29000,0.05,27550,17980
O20240102-000028,2024-01-02,S03,P012,1,189000,0.05,179550,79380
O20240102-000029,2024-01-02,S03,P021,4,159000,0.0,636000,445200
O20240102-000030,2024-01-02,S03,P036,1,32000,0.0,32000,11200
O20240102-000031,2024-01-02,S04,P014,1,45000,0.0,45000,17100
O20240102-000032,2024-01-02,S04,P023,3,42000,0.0,126000,83160
O20240102-000033,2024-01-02,S04,P038,1,49000,0.0,49000,23030
O20240102-000034,2024-01-02,S07,P013,2,59000,0.0,118000,47200
O20240102-000035,2024-01-02,S08,P025,1,24900,0.2,19920,14442
O20240102-000036,2024-01-02,S09,P011,1,129000,0.0,129000,58050
O20240102-000037,2024-01-02,S09,P025,3,24900,0.1,67230,43326
O20240102-000038,2024-01-02,S10,P014,1,45000,0.0,45000,17100
O20240102-000039,2024-01-02,S11,P021,1,159000,0.0,159000,111300
O20240102-000040,2024-01-02,S14,P026,1,12900,0.2,10320,6192
O20240102-000041,2024-01-02,S15,P021,1,159000,0.0,159000,111300
O20240102-000042,2024-01-02,S15,P032,1,29900,0.1,26910,13455
O20240102-000043,2024-01-02,S16,P043,4,45000,0.0,180000,50400
O20240102-000044,2024-01-02,ON1,P008,1,129000,0.0,129000,79980
O20240102-000045,2024-01-02,ON1,P024,4,19900,0.0,79600,43780
O20240102-000046,2024-01-02,ON1,P037,1,27000,0.05,25650,10800
O20240102-000047,2024-01-02,ON2,P001,1,2190000,0.0,2190000,1708200
O20240102-000048,2024-01-02,ON2,P013,3,59000,0.1,159300,70800
O20240102-000049,2024-01-02,ON2,P022,2,29000,0.0,58000,35960
O20240103-000050,2024-01-03,S01,P017,1,89000,0.0,89000,39160
O20240103-000051,2024-01-03,S01,P028,3,89000,0.05,253650,133500
O20240103-000052,2024-01-03,S04,P016,1,119000,0.05,113050,59500
O20240103-000053,2024-01-03,S04,P024,2,19900,0.1,35820,21890
O20240103-000054,2024-01-03,S06,P007,1,219000,0.05,208050,140160
O20240103-000055,2024-01-03,S06,P028,1,89000,0.0,89000,44500
O20240103-000056,2024-01-03,S06,P035,2,15900,0.1,28620,13356
