매장코드,매장명,시도,권역,채널,개점일
S01,강남점,서울,수도권,오프라인,2015-03-01
S02,여의도점,서울,수도권,오프라인,2016-05-01
S03,홍대점,서울,수도권,오프라인,2017-09-01
S04,잠실점,서울,수도권,오프라인,2014-11-01
S05,판교점,경기,수도권,오프라인,2024-09-01
S06,수원점,경기,수도권,오프라인,2018-04-01
S07,일산점,경기,수도권,오프라인,2013-06-01
S08,송도점,인천,수도권,오프라인,2019-10-01
S09,서면점,부산,영남,오프라인,2015-08-01
S10,센텀점,부산,영남,오프라인,2017-03-01
S11,동성로점,대구,영남,오프라인,2016-07-01
S12,울산점,울산,영남,오프라인,2019-02-01
S13,충장로점,광주,호남,오프라인,2018-11-01
S14,전주점,전북,호남,오프라인,2020-05-01
S15,둔산점,대전,충청,오프라인,2017-12-01
S16,청주점,충북,충청,오프라인,2021-03-01
S17,제주점,제주,제주,오프라인,2020-08-01
S18,강릉점,강원,강원,오프라인,2022-06-01
ON1,공식 온라인몰,전국,온라인,온라인,2012-01-01
ON2,모바일 앱,전국,온라인,온라인,2020-01-01
