목표월,카테고리,목표매출액
2024-01-01,가전,58000000.0
2024-01-01,뷰티,10000000.0
2024-01-01,생활용품,8000000.0
2024-01-01,식품,26000000.0
2024-01-01,패션,25000000.0
2024-02-01,가전,30000000.0
2024-02-01,뷰티,6000000.0
2024-02-01,생활용품,5000000.0
2024-02-01,식품,13000000.0
2024-02-01,패션,16000000.0
2024-03-01,가전,43000000.0
2024-03-01,뷰티,10000000.0
2024-03-01,생활용품,8000000.0
2024-03-01,식품,16000000.0
2024-03-01,패션,21000000.0
2024-04-01,가전,35000000.0
2024-04-01,뷰티,8000000.0
2024-04-01,생활용품,8000000.0
2024-04-01,식품,15000000.0
2024-04-01,패션,23000000.0
2024-05-01,가전,54000000.0
2024-05-01,뷰티,11000000.0
2024-05-01,생활용품,8000000.0
2024-05-01,식품,20000000.0
2024-05-01,패션,21000000.0
2024-06-01,가전,60000000.0
2024-06-01,뷰티,8000000.0
2024-06-01,생활용품,6000000.0
2024-06-01,식품,16000000.0
2024-06-01,패션,15000000.0
2024-07-01,가전,55000000.0
2024-07-01,뷰티,11000000.0
2024-07-01,생활용품,7000000.0
2024-07-01,식품,15000000.0
2024-07-01,패션,16000000.0
2024-08-01,가전,35000000.0
2024-08-01,뷰티,9000000.0
2024-08-01,생활용품,6000000.0
2024-08-01,식품,13000000.0
2024-08-01,패션,19000000.0
2024-09-01,가전,50000000.0
2024-09-01,뷰티,15000000.0
2024-09-01,생활용품,7000000.0
2024-09-01,식품,32000000.0
2024-09-01,패션,27000000.0
2024-10-01,가전,32000000.0
2024-10-01,뷰티,10000000.0
2024-10-01,생활용품,8000000.0
2024-10-01,식품,18000000.0
2024-10-01,패션,33000000.0
2024-11-01,가전,66000000.0
2024-11-01,뷰티,11000000.0
2024-11-01,생활용품,7000000.0
2024-11-01,식품,21000000.0
2024-11-01,패션,38000000.0
2024-12-01,가전,67000000.0
2024-12-01,뷰티,18000000.0
2024-12-01,생활용품,9000000.0
2024-12-01,식품,19000000.0
2024-12-01,패션,40000000.0
2025-01-01,가전,58000000.0
2025-01-01,뷰티,12000000.0
2025-01-01,생활용품,8000000.0
2025-01-01,식품,27000000.0
2025-01-01,패션,28000000.0
2025-02-01,가전,30000000.0
2025-02-01,뷰티,7000000.0
2025-02-01,생활용품,5000000.0
2025-02-01,식품,13000000.0
2025-02-01,패션,18000000.0
2025-03-01,가전,47000000.0
2025-03-01,뷰티,10000000.0
2025-03-01,생활용품,9000000.0
2025-03-01,식품,16000000.0
2025-03-01,패션,22000000.0
2025-04-01,가전,38000000.0
2025-04-01,뷰티,9000000.0
2025-04-01,생활용품,8000000.0
2025-04-01,식품,17000000.0
2025-04-01,패션,22000000.0
2025-05-01,가전,58000000.0
2025-05-01,뷰티,12000000.0
2025-05-01,생활용품,9000000.0
2025-05-01,식품,21000000.0
2025-05-01,패션,22000000.0
2025-06-01,가전,61000000.0
2025-06-01,뷰티,9000000.0
2025-06-01,생활용품,6000000.0
2025-06-01,식품,16000000.0
2025-06-01,패션,15000000.0
2025-07-01,가전,61000000.0
2025-07-01,뷰티,11000000.0
2025-07-01,생활용품,7000000.0
2025-07-01,식품,17000000.0
2025-07-01,패션,17000000.0
2025-08-01,가전,36000000.0
2025-08-01,뷰티,10000000.0
2025-08-01,생활용품,6000000.0
2025-08-01,식품,15000000.0
2025-08-01,패션,21000000.0
2025-09-01,가전,53000000.0
2025-09-01,뷰티,15000000.0
2025-09-01,생활용품,7000000.0
2025-09-01,식품,34000000.0
2025-09-01,패션,27000000.0
2025-10-01,가전,35000000.0
2025-10-01,뷰티,11000000.0
2025-10-01,생활용품,8000000.0
2025-10-01,식품,19000000.0
2025-10-01,패션,33000000.0
2025-11-01,가전,68000000.0
2025-11-01,뷰티,12000000.0
2025-11-01,생활용품,8000000.0
2025-11-01,식품,21000000.0
2025-11-01,패션,39000000.0
2025-12-01,가전,70000000.0
2025-12-01,뷰티,20000000.0
2025-12-01,생활용품,10000000.0
2025-12-01,식품,21000000.0
2025-12-01,패션,39000000.0
2026-01-01,가전,49000000.0
2026-01-01,뷰티,15000000.0
2026-01-01,생활용품,8000000.0
2026-01-01,식품,28000000.0
2026-01-01,패션,36000000.0
2026-02-01,가전,30000000.0
2026-02-01,뷰티,12000000.0
2026-02-01,생활용품,5000000.0
2026-02-01,식품,18000000.0
2026-02-01,패션,17000000.0
2026-03-01,가전,54000000.0
2026-03-01,뷰티,13000000.0
2026-03-01,생활용품,9000000.0
2026-03-01,식품,15000000.0
2026-03-01,패션,26000000.0
2026-04-01,가전,40000000.0
2026-04-01,뷰티,15000000.0
2026-04-01,생활용품,7000000.0
2026-04-01,식품,17000000.0
2026-04-01,패션,19000000.0
2026-05-01,가전,51000000.0
2026-05-01,뷰티,17000000.0
2026-05-01,생활용품,8000000.0
2026-05-01,식품,20000000.0
2026-05-01,패션,26000000.0
2026-06-01,가전,52000000.0
2026-06-01,뷰티,14000000.0
2026-06-01,생활용품,7000000.0
2026-06-01,식품,20000000.0
2026-06-01,패션,19000000.0
2026-07-01,가전,51000000.0
2026-07-01,뷰티,13000000.0
2026-07-01,생활용품,9000000.0
2026-07-01,식품,18000000.0
2026-07-01,패션,18000000.0
2026-08-01,가전,37000000.0
2026-08-01,뷰티,14000000.0
2026-08-01,생활용품,7000000.0
2026-08-01,식품,18000000.0
2026-08-01,패션,27000000.0
