Month,Category,Amount
2024-01-01,Camping,22000.0
2024-01-01,Climbing,6100.0
2024-01-01,Footwear,11500.0
2024-01-01,Apparel,33500.0
2024-01-01,Accessories,10000.0
2024-02-01,Camping,17600.0
2024-02-01,Climbing,4100.0
2024-02-01,Footwear,13400.0
2024-02-01,Apparel,34800.0
2024-02-01,Accessories,11200.0
2024-03-01,Camping,27100.0
2024-03-01,Climbing,5200.0
2024-03-01,Footwear,14300.0
2024-03-01,Apparel,24900.0
2024-03-01,Accessories,9200.0
2024-04-01,Camping,27100.0
2024-04-01,Climbing,5300.0
2024-04-01,Footwear,13800.0
2024-04-01,Apparel,16700.0
2024-04-01,Accessories,11300.0
2024-05-01,Camping,35800.0
2024-05-01,Climbing,7100.0
2024-05-01,Footwear,16300.0
2024-05-01,Apparel,12700.0
2024-05-01,Accessories,12800.0
2024-06-01,Camping,36600.0
2024-06-01,Climbing,6900.0
2024-06-01,Footwear,13800.0
2024-06-01,Apparel,10400.0
2024-06-01,Accessories,13200.0
2024-07-01,Camping,40900.0
2024-07-01,Climbing,5000.0
2024-07-01,Footwear,10600.0
2024-07-01,Apparel,11500.0
2024-07-01,Accessories,14000.0
2024-08-01,Camping,42800.0
2024-08-01,Climbing,5000.0
2024-08-01,Footwear,13500.0
2024-08-01,Apparel,13500.0
2024-08-01,Accessories,10400.0
2024-09-01,Camping,34400.0
2024-09-01,Climbing,6500.0
2024-09-01,Footwear,15600.0
2024-09-01,Apparel,16700.0
2024-09-01,Accessories,11300.0
2024-10-01,Camping,23400.0
2024-10-01,Climbing,10400.0
2024-10-01,Footwear,14800.0
2024-10-01,Apparel,21900.0
2024-10-01,Accessories,12000.0
2024-11-01,Camping,18700.0
2024-11-01,Climbing,6700.0
2024-11-01,Footwear,15100.0
2024-11-01,Apparel,28400.0
2024-11-01,Accessories,12200.0
2024-12-01,Camping,18300.0
2024-12-01,Climbing,4600.0
2024-12-01,Footwear,13200.0
2024-12-01,Apparel,35400.0
2024-12-01,Accessories,12100.0
2025-01-01,Camping,22700.0
2025-01-01,Climbing,6200.0
2025-01-01,Footwear,11900.0
2025-01-01,Apparel,34500.0
2025-01-01,Accessories,10300.0
2025-02-01,Camping,18200.0
2025-02-01,Climbing,4300.0
2025-02-01,Footwear,13800.0
2025-02-01,Apparel,35900.0
2025-02-01,Accessories,11500.0
2025-03-01,Camping,28000.0
2025-03-01,Climbing,5300.0
2025-03-01,Footwear,14800.0
2025-03-01,Apparel,25600.0
2025-03-01,Accessories,9500.0
2025-04-01,Camping,28000.0
2025-04-01,Climbing,5500.0
2025-04-01,Footwear,14200.0
2025-04-01,Apparel,17300.0
2025-04-01,Accessories,11700.0
2025-05-01,Camping,36900.0
2025-05-01,Climbing,7300.0
2025-05-01,Footwear,16800.0
2025-05-01,Apparel,13100.0
2025-05-01,Accessories,13200.0
2025-06-01,Camping,37700.0
2025-06-01,Climbing,7100.0
2025-06-01,Footwear,14200.0
2025-06-01,Apparel,10700.0
2025-06-01,Accessories,13600.0
2025-07-01,Camping,42200.0
2025-07-01,Climbing,5200.0
2025-07-01,Footwear,10900.0
2025-07-01,Apparel,11800.0
2025-07-01,Accessories,14400.0
2025-08-01,Camping,44200.0
2025-08-01,Climbing,5100.0
2025-08-01,Footwear,13900.0
2025-08-01,Apparel,13900.0
2025-08-01,Accessories,10700.0
2025-09-01,Camping,35500.0
2025-09-01,Climbing,6700.0
2025-09-01,Footwear,16100.0
2025-09-01,Apparel,17200.0
2025-09-01,Accessories,11600.0
2025-10-01,Camping,24100.0
2025-10-01,Climbing,10700.0
2025-10-01,Footwear,15300.0
2025-10-01,Apparel,22600.0
2025-10-01,Accessories,12400.0
2025-11-01,Camping,19200.0
2025-11-01,Climbing,6900.0
2025-11-01,Footwear,15600.0
2025-11-01,Apparel,29300.0
2025-11-01,Accessories,12600.0
2025-12-01,Camping,18900.0
2025-12-01,Climbing,4700.0
2025-12-01,Footwear,13600.0
2025-12-01,Apparel,36500.0
2025-12-01,Accessories,12400.0
2026-01-01,Camping,22600.0
2026-01-01,Climbing,5000.0
2026-01-01,Footwear,16200.0
2026-01-01,Apparel,37700.0
2026-01-01,Accessories,11800.0
2026-02-01,Camping,19500.0
2026-02-01,Climbing,3500.0
2026-02-01,Footwear,12000.0
2026-02-01,Apparel,30500.0
