Order ID,Order Date,Store ID,Product ID,Quantity,Unit Price,Discount,Net Sales,COGS
O000001,2024-01-01,ST09,AP03,2,99.0,0.1,178.2,79.2
O000002,2024-01-01,ST10,AP04,2,89.0,0.0,178.0,74.76
O000003,2024-01-01,ST03,AP04,1,89.0,0.1,80.1,37.38
O000004,2024-01-01,ST02,CL03,2,39.0,0.0,78.0,32.76
O000005,2024-01-01,ST04,AC02,1,45.0,0.0,45.0,17.1
O000006,2024-01-01,ST06,AC01,1,49.0,0.0,49.0,19.6
O000007,2024-01-01,ST04,AP02,2,299.0,0.2,478.4,275.08
O000008,2024-01-01,ST08,FW01,1,149.0,0.2,119.2,71.52
O000009,2024-01-01,ST02,AP05,2,89.0,0.0,178.0,67.64
O000010,2024-01-02,ST01,FW03,1,169.0,0.2,135.2,82.81
O000011,2024-01-02,ST04,FW01,1,149.0,0.0,149.0,71.52
O000012,2024-01-02,ST01,TG01,1,349.0,0.1,314.1,202.42
O000013,2024-01-02,ST10,TG01,3,349.0,0.1,942.3,607.26
O000014,2024-01-02,ST06,FW03,1,169.0,0.0,169.0,82.81
O000015,2024-01-02,ST10,AP05,1,89.0,0.0,89.0,33.82
O000016,2024-01-02,ST08,FW03,2,169.0,0.0,338.0,165.62
O000017,2024-01-02,ST05,AP04,3,89.0,0.2,213.6,112.14
O000018,2024-01-02,ST04,AP04,1,89.0,0.0,89.0,37.38
O000019,2024-01-02,ST05,CK02,1,59.0,0.0,59.0,26.55
O000020,2024-01-02,ST04,AP02,1,299.0,0.0,299.0,137.54
O000021,2024-01-02,ST01,SB02,1,119.0,0.0,119.0,57.12
O000022,2024-01-02,ST06,AC02,2,45.0,0.1,81.0,34.2
O000023,2024-01-02,ST08,AP03,1,99.0,0.0,99.0,39.6
O000024,2024-01-02,ST02,AC01,1,49.0,0.0,49.0,19.6
O000025,2024-01-03,ST11,CL02,1,229.0,0.1,206.1,125.95
O000026,2024-01-03,ST07,AP02,2,299.0,0.0,598.0,275.08
O000027,2024-01-03,ST03,CL02,1,229.0,0.0,229.0,125.95
O000028,2024-01-03,ST08,TG02,1,429.0,0.0,429.0,235.95
O000029,2024-01-03,ST01,AC03,1,129.0,0.0,129.0,60.63
O000030,2024-01-03,ST02,AP01,1,249.0,0.0,249.0,109.56
O000031,2024-01-03,ST11,SB01,1,279.0,0.2,223.2,145.08
O000032,2024-01-03,ST02,CK01,3,89.0,0.2,213.6,133.5
O000033,2024-01-03,ST06,AP05,1,89.0,0.1,80.1,33.82
O000034,2024-01-03,ST11,AP01,2,249.0,0.0,498.0,219.12
O000035,2024-01-03,ST07,AC02,2,45.0,0.0,90.0,34.2
O000036,2024-01-04,ST12,AP02,1,299.0,0.1,269.1,137.54
O000037,2024-01-04,ST02,CL02,2,229.0,0.2,366.4,251.9
O000038,2024-01-04,ST12,CK01,1,89.0,0.2,71.2,44.5
O000039,2024-01-04,ST11,AP03,1,99.0,0.1,89.1,39.6
O000040,2024-01-04,ST06,AP02,1,299.0,0.0,299.0,137.54
O000041,2024-01-04,ST04,AP01,1,249.0,0.0,249.0,109.56
O000042,2024-01-04,ST01,AP01,1,249.0,0.2,199.2,109.56
O000043,2024-01-04,ST03,AP01,1,249.0,0.0,249.0,109.56
O000044,2024-01-04,ST02,AP02,1,299.0,0.1,269.1,137.54
O000045,2024-01-04,ST12,CL03,1,39.0,0.1,35.1,16.38
O000046,2024-01-04,ST04,AP01,1,249.0,0.2,199.2,109.56
O000047,2024-01-04,ST12,AP01,1,249.0,0.2,199.2,109.56
O000048,2024-01-05,ST03,AC04,2,139.0,0.0,278.0,125.1
O000049,2024-01-05,ST09,AC04,2,139.0,0.0,278.0,125.1
O000050,2024-01-05,ST11,AP05,1,89.0,0.0,89.0,33.82
O000051,2024-01-05,ST01,CL04,1,24.0,0.0,24.0,8.4
O000052,2024-01-05,ST12,AP01,3,249.0,0.2,597.6,328.68
O000053,2024-01-05,ST04,FW04,1,69.0,0.1,62.1,27.6
O000054,2024-01-05,ST10,FW03,1,169.0,0.1,152.1,82.81
O000055,2024-01-05,ST07,TG02,3,429.0,0.0,1287.0,707.85
O000056,2024-01-05,ST01,CL02,2,229.0,0.2,366.4,251.9
O000057,2024-01-05,ST01,AP03,1,99.0,0.2,79.2,39.6
O000058,2024-01-06,ST11,CL04,2,24.0,0.1,43.2,16.8
O000059,2024-01-06,ST06,AP01,1,249.0,0.0,249.0,109.56
O000060,2024-01-06,ST07,AP03,1,99.0,0.0,99.0,39.6
O000061,2024-01-06,ST01,AP03,1,99.0,0.2,79.2,39.6
O000062,2024-01-06,ST04,AC02,3,45.0,0.1,121.5,51.3
O000063,2024-01-06,ST11,AC02,1,45.0,0.0,45.0,17.1
O000064,2024-01-06,ST01,FW02,1,219.0,0.0,219.0,109.5
O000065,2024-01-06,ST01,AP01,1,249.0,0.1,224.1,109.56
O000066,2024-01-06,ST12,FW01,2,149.0,0.2,238.4,143.04
O000067,2024-01-06,ST09,SB01,1,279.0,0.0,279.0,145.08
O000068,2024-01-06,ST12,AP05,1,89.0,0.0,89.0,33.82
O000069,2024-01-06,ST05,AP03,3,99.0,0.2,237.6,118.8
O000070,2024-01-06,ST03,SB01,1,279.0,0.0,279.0,145.08
O000071,2024-01-06,ST08,AC04,1,139.0,0.0,139.0,62.55
O000072,2024-01-06,ST12,TG01,2,349.0,0.0,698.0,404.84
O000073,2024-01-07,ST01,CK02,1,59.0,0.0,59.0,26.55
O000074,2024-01-07,ST09,AC03,1,129.0,0.0,129.0,60.63
O000075,2024-01-07,ST05,AC01,1,49.0,0.0,49.0,19.6
O000076,2024-01-07,ST04,AP03,1,99.0,0.0,99.0,39.6
O000077,2024-01-07,ST07,AP01,2,249.0,0.0,498.0,219.12
O000078,2024-01-07,ST11,FW01,2,149.0,0.0,298.0,143.04
O000079,2024-01-07,ST01,AP03,1,99.0,0.0,99.0,39.6
O000080,2024-01-07,ST01,AC04,1,139.0,0.2,111.2,62.55
O000081,2024-01-07,ST02,SB01,1,279.0,0.0,279.0,145.08
O000082,2024-01-07,ST11,AP01,2,249.0,0.1,448.2,219.12
O000083,2024-01-07,ST06,AP04,2,89.0,0.2,142.4,74.76
O000084,2024-01-07,ST02,AP01,1,249.0,0.2,199.2,109.56
O000085,2024-01-07,ST12,CL04,2,24.0,0.0,48.0,16.8
O000086,2024-01-07,ST09,AP04,1,89.0,0.0,89.0,37.38
O000087,2024-01-07,ST03,CK01,1,89.0,0.1,80.1,44.5
O000088,2024-01-07,ST04,AP05,2,89.0,0.1,160.2,67.64
O000089,2024-01-07,ST03,AP05,1,89.0,0.0,89.0,33.82
O000090,2024-01-07,ST11,AC03,1,129.0,0.0,129.0,60.63
O000091,2024-01-07,ST12,SB01,1,279.0,0.0,279.0,145.08
O000092,2024-01-07,ST03,CK02,1,59.0,0.0,59.0,26.55
O000093,2024-01-07,ST07,AC05,2,35.0,0.0,70.0,23.1
O000094,2024-01-07,ST09,AC04,1,139.0,0.1,125.1,62.55
O000095,2024-01-07,ST04,CK01,1,89.0,0.0,89.0,44.5
O000096,2024-01-07,ST10,FW03,1,169.0,0.0,169.0,82.81
O000097,2024-01-08,ST07,AC03,2,129.0,0.0,258.0,121.26
O000098,2024-01-08,ST04,CL01,2,79.0,0.0,158.0,79.0
O000099,2024-01-08,ST08,AC02,1,45.0,0.0,45.0,17.1
O000100,2024-01-08,ST12,AP01,3,249.0,0.2,597.6,328.68
O000101,2024-01-08,ST04,AC03,1,129.0,0.0,129.0,60.63
O000102,2024-01-08,ST01,AC01,3,49.0,0.2,117.6,58.8
O000103,2024-01-08,ST07,SB01,1,279.0,0.0,279.0,145.08
O000104,2024-01-08,ST02,AC05,2,35.0,0.2,56.0,23.1
O000105,2024-01-08,ST05,SB01,2,279.0,0.1,502.2,290.16
O000106,2024-01-08,ST06,AP03,1,99.0,0.0,99.0,39.6
O000107,2024-01-08,ST04,AP02,1,299.0,0.0,299.0,137.54
O000108,2024-01-08,ST06,TG02,2,429.0,0.0,858.0,471.9
O000109,2024-01-08,ST12,FW04,1,69.0,0.2,55.2,27.6
O000110,2024-01-08,ST04,SB01,1,279.0,0.0,279.0,145.08
O000111,2024-01-08,ST01,CL03,1,39.0,0.1,35.1,16.38
O000112,2024-01-08,ST05,FW02,1,219.0,0.1,197.1,109.5
O000113,2024-01-09,ST08,AP03,1,99.0,0.0,99.0,39.6
